Marca temporal,¿Cuántos años tenés?,,¿Cuál es tu género?,Me siento calmado,Me siento seguro,Estoy tenso,Estoy contrariado (malhumorado o disgustado),Me siento cómodo (estoy a gusto),Estoy preocupado ahora por posibles desgracias futuras,Me siento descansado,Me siento angustiado,Me siento confortable,Tengo confianza en mi mismo,Me siento nervioso,Estoy desasosegado (agitado e inquieto),Me siento muy “atado” (como oprimido),Estoy relajado,Me siento satisfecho,Estoy preocupado,Me siento aturdido y sobreexcitado,Me siento alegre,En este momento me siento bien
7/07/2021 11:32:28,Entre 25 y 40,,Hombre,Bastante (2),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:32:41,Entre 18 y 25,,Hombre,Nada (0),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (3),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 11:35:12,Entre 15 y 18,,Hombre,Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Mucho (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1)
7/07/2021 11:35:29,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Mucho (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 11:35:54,Entre 14 y 18,,Hombre,Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:36:47,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Mucho (3),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 11:38:10,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Nada (0),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2)
7/07/2021 11:41:31,Entre 19 y 25,,Hombre,Mucho (3),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Nada (0),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:42:26,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 11:43:02,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Mucho (3)
7/07/2021 11:43:18,Entre 15 y 18,,Hombre,Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (3),Mucho (3),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 11:43:34,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Bastante (2)
7/07/2021 11:43:35,Más de 40,,Hombre,Un poco (1),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 11:44:06,Entre 19 y 25,,Hombre,Mucho (3),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:44:47,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 11:45:57,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 11:46:17,Entre 19 y 25,,Hombre,Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:49:01,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 11:49:06,Entre 26 y 40,,Hombre,Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:49:29,Entre 15 y 18,,Hombre,Bastante (2),Nada (0),Un poco (1),Nada (0),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 11:50:10,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (3),Mucho (3),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Mucho (3),Nada (0),Un poco (1),Un poco (1)
7/07/2021 11:50:33,Entre 19 y 25,,Hombre,Un poco (1),Mucho (3),Mucho (3),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 11:50:41,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1)
7/07/2021 11:50:48,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Mucho (3),Un poco (1),Bastante (2),Mucho (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Bastante (2)
7/07/2021 11:52:12,Más de 40,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 11:52:12,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Mucho (3),Bastante (2)
7/07/2021 11:52:28,Más de 40,,Hombre,Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (2),Nada (0),Bastante (2),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 11:52:40,Entre 15 y 18,,Hombre,Nada (0),Mucho (3),Bastante (2),Bastante (2),Un poco (1),Bastante (3),Un poco (1),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Mucho (3),Bastante (2)
7/07/2021 11:53:02,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Mucho (3)
7/07/2021 11:53:20,Entre 19 y 25,,Hombre,Un poco (1),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1)
7/07/2021 11:54:13,Entre 19 y 25,,Hombre,Mucho (3),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (3)
7/07/2021 11:54:38,Entre 26 y 40,,Hombre,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Mucho (3),Nada (0),Un poco (1),Nada (0),Nada (0),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2)
7/07/2021 11:55:08,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Nada (0),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:56:17,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Mucho (3),Bastante (2),Mucho (3),Bastante (3),Un poco (1),Mucho (3),Nada (0),Bastante (2),Mucho (3),Nada (0),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0)
7/07/2021 11:57:23,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Un poco (1),Un poco (1),Nada (0),Mucho (3),Mucho (3),Nada (0),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3)
7/07/2021 11:57:38,Entre 19 y 25,,Hombre,Un poco (1),Mucho (3),Nada (0),Un poco (1),Mucho (3),Un poco (1),Un poco (1),Nada (0),Mucho (3),Mucho (3),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Mucho (3)
7/07/2021 11:57:48,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Bastante (2)
7/07/2021 11:57:58,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Bastante (2)
7/07/2021 11:58:28,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Bastante (2),Nada (0),Bastante (2),Bastante (2)
7/07/2021 11:58:32,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (3),Bastante (2),Nada (0),Bastante (2),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Mucho (3)
7/07/2021 11:59:08,Entre 15 y 18,,Hombre,Un poco (1),Nada (0),Un poco (1),Bastante (2),Un poco (1),Mucho (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1)
7/07/2021 11:59:41,Entre 15 y 18,,Hombre,Mucho (3),Mucho (3),Nada (0),Nada (0),Mucho (3),Mucho (2),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:01:39,Entre 19 y 25,,Hombre,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Nada (0),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Nada (0),Nada (0),Un poco (1),Mucho (3),Bastante (2)
7/07/2021 12:02:21,Entre 19 y 25,,Hombre,Un poco (1),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Mucho (2),Bastante (2),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Bastante (2),Mucho (3),Bastante (2)
7/07/2021 12:03:30,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Nada (0),Mucho (3),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:03:43,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Mucho (2),Un poco (1),Un poco (1),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2)
7/07/2021 12:04:28,Entre 19 y 25,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (2),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2)
7/07/2021 12:04:54,Entre 19 y 25,,Hombre,Un poco (1),Bastante (2),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3),Nada (0),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Nada (0),Nada (0),Nada (0)
7/07/2021 12:05:25,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Mucho (2),Nada (0),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:05:49,Entre 19 y 25,,Hombre,Bastante (2),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Mucho (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:06:19,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Nada (0),Nada (0),Bastante (2),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Un poco (1),Bastante (2),Mucho (3),Nada (0),Un poco (1),Mucho (3),Mucho (3)
7/07/2021 12:07:19,Entre 19 y 25,,Hombre,Un poco (1),Mucho (3),Un poco (1),Nada (0),Bastante (2),Nada (0),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Nada (0),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 12:07:28,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 12:07:42,Más de 40,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 12:07:57,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Mucho (2),Un poco (1),Nada (0),Un poco (1),Un poco (1),Bastante (2),Nada (0),Nada (0),Un poco (1),Mucho (3),Bastante (2),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:08:10,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Un poco (1),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Nada (0),Nada (0),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2)
7/07/2021 12:08:15,Más de 40,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 12:08:30,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Bastante (2),Mucho (3),Nada (0),Nada (0),Nada (0),Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:09:45,Entre 15 y 18,,Hombre,Mucho (3),Mucho (3),Un poco (1),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Mucho (3)
7/07/2021 12:10:43,Entre 15 y 18,,Hombre,Bastante (2),Mucho (3),Nada (0),Nada (0),Mucho (3),Un poco (1),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Mucho (3),Bastante (2),Nada (0),Nada (0),Mucho (3),Mucho (3)
7/07/2021 12:13:37,Entre 19 y 25,,Hombre,Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Nada (0),Mucho (3),Bastante (2),Bastante (2),Mucho (3),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:13:55,Más de 40,,Hombre,Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Un poco (1)
7/07/2021 12:14:02,Entre 15 y 18,,Hombre,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Un poco (1),Bastante (3),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Mucho (3),Nada (0),Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 12:15:10,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Un poco (1),Nada (0),Mucho (3),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Bastante (2),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Mucho (3),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:15:13,Entre 15 y 18,,Hombre,Un poco (1),Un poco (1),Mucho (3),Mucho (3),Un poco (1),Bastante (3),Un poco (1),Mucho (3),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3),Un poco (1),Nada (0),Nada (0)
7/07/2021 12:15:33,Entre 19 y 25,,Hombre,Bastante (2),Un poco (1),Un poco (1),Un poco (1),Bastante (2),Nada (0),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Un poco (1),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0),Bastante (2),Mucho (3)
7/07/2021 12:15:34,Entre 15 y 18,,Hombre,Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Mucho (2),Mucho (3),Nada (0),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Nada (0),Un poco (1),Un poco (1)
7/07/2021 12:15:46,Entre 26 y 40,,Hombre,Bastante (2),Bastante (2),Nada (0),Nada (0),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Un poco (1),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Mucho (3),Bastante (2)
7/07/2021 12:17:42,Entre 15 y 18,,Hombre,Bastante (2),Bastante (2),Un poco (1),Nada (0),Bastante (2),Bastante (3),Un poco (1),Nada (0),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Bastante (2),Un poco (1),Bastante (2),Bastante (2)
7/07/2021 12:19:50,Entre 19 y 25,,Hombre,Un poco (1),Un poco (1),Nada (0),Nada (0),Mucho (3),Mucho (2),Bastante (2),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Nada (0),Un poco (1),Bastante (2),Nada (0),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:20:04,Entre 15 y 18,,Hombre,Mucho (3),Mucho (3),Nada (0),Un poco (1),Bastante (2),Un poco (1),Bastante (2),Nada (0),Mucho (3),Mucho (3),Nada (0),Nada (0),Nada (0),Mucho (3),Mucho (3),Un poco (1),Nada (0),Bastante (2),Bastante (2)
7/07/2021 12:21:56,Entre 19 y 25,,Hombre,Mucho (3),Bastante (2),Un poco (1),Un poco (1),Bastante (2),Un poco (1),Mucho (3),Nada (0),Bastante (2),Bastante (2),Nada (0),Nada (0),Un poco (1),Bastante (2),Un poco (1),Un poco (1),Nada (0),Un poco (1),Mucho (3)
